番号	単語	漢字	意味	1st
1	わたし	私	我	わ
2	わたしたち	*	我们	わ
3	あなた	*	你	あ
4	あのひと	あの人	他，她，那个人	あ
5	あのかた	あの方	那个人的礼貌形	あ
6	みなさん	皆さん	大家	み
7	xxさん	*	xx先生／xx小姐／xx女士	さ
8	xxちゃん	*	（用于小孩名字后）	ち
9	xxくん	xx君	xx君（用于小男孩名字后）	く
10	xxじん	xx人	（表国籍）哪里人	し
11	せんせい	先生	老师，教导者	せ
12	きょうし	教師	教师	き
13	がくせい	学生	学生	か
14	かいしゃいん	会社員	公司职员	か
15	しゃいん	社員	xx公司的职员	し
16	ぎんこういん	銀行員	银行员	き
17	いしゃ	医者	医生	き
18	けんきゅうしゃ	研究者	研究人员	け
19	エンジニア	*	工程师	え
20	だいがく	大学	大学	た
21	びょういん	病院	医院	ひ
22	でんき	電気	电，电灯	て
23	だれ	誰	谁（哪位）	た
24	どなた	*	谁（哪位）的礼貌体	と
25	xxさい	xx歳	xx岁	さ
26	なんさい	何歳	几岁	な
27	おいくつ	*	几岁的礼貌体	お
28	はい	*	是	は
29	いいえ	*	不是	い

